م,اسم الإجراء,وصف الإجراء,مالك الإجراء ,تاريخ النشر,تاريخ المراجعة القادم,رمز الإجراء,رقم النسخة
1,إجراء تعميم المبادئ التوجيهية الخاصة بالمالية وبالميزانية,تعميم اللوائح والإجراءات والتعليمات والنماذج الخاصة بإعداد الميزانية حسب تعليمات وزارة المالية.,الإدارة العامة للميزانية,25-2-2024,25-2-2025,PR-FN-BM-01-01  ,1
2,إجراء تقدير المتطلبات المالية على مستوى المجال الوظيفي,البدء في تقدير الاحتياجات المطلوبة للعام المقبل.,الإدارة العامة للميزانية,25-2-2024,25-2-2025,PR-FN-BM-01-02  ,1
