no,procedure_name,procedure_description,procedure_owner,publish_date,next_review_date,procedure_code,version_number
1,إجراء تعميم المبادئ التوجيهية الخاصة بالمالية وبالميزانية,تعميم اللوائح والإجراءات والتعليمات والنماذج الخاصة بإعداد الميزانية حسب تعليمات وزارة المالية.,الإدارة العامة للميزانية,25-2-2024,25-2-2025,PR-FN-BM-01-01  ,1
2,إجراء تقدير المتطلبات المالية على مستوى المجال الوظيفي,البدء في تقدير الاحتياجات المطلوبة للعام المقبل.,الإدارة العامة للميزانية,25-2-2024,25-2-2025,PR-FN-BM-01-02  ,1
