be_id,kpi_id,kpi_name_EN,kpi_name_AR,level,portfolio,description,formula,unit_of_measurement,polarity
be_19,kpi_62,Percentage of localization of spending on military procurement,نسبة توطين الإنفاق على المشتريات العسكرية,1,EA portfolio,,,,
be_20,kpi_63,Percentage of industrial participation in military contracts,نسبة المشاركة الصناعية في العقود العسكرية,1,EA portfolio,,,,
be_21,kpi_64,Target Percentage Achievement Number of Localized Jobs Created Through Military Procurement,نسبة تحقيق مستهدف عدد الوظائف الموطنة التي تم توفيرها من خلال المشتريات العسكرية,1,EA portfolio,,,,
be_22,kpi_65,Employee belonging rate,نسبة الانتماء الوظيفي,1,EA portfolio,,,,
be_22,kpi_66,Percentage of employees' satisfaction with the services provided,نسبة رضى الموظفين عن الخدمات المقدمة,1,EA portfolio,,,,
be_22,kpi_67,"Percentage participation in cultural, sports and social programs",نسبة المشاركين في البرامج الثقافية والاجتماعية والرياضية,2,EA portfolio,,,,
be_22,kpi_68,Percentage family participation in programs and events dedicates to martyrs of duty and injured,نسبة العوائل المشاركة في البرامج والمناسبات المخصصة لشهداء الواجب والمصابين,2,EA portfolio,,,,
be_22,kpi_69,Average waiting time for psychological care,متوسط وقت الانتظار للحصول على الرعاية النفسية,2,EA portfolio,,,,
be_22,kpi_70,Share of medically retired employees re-employed,نسبة الموظفين المتقاعدين طبياً المعاد توظيفهم,2,EA portfolio,,,,
be_22,kpi_71,Average waiting time for housing approval,متوسط وقت الانتظار للحصول على المسكن,2,EA portfolio,,,,
be_23,kpi_72,Number of programs dedicated to promoting the Ministry's values,عدد البرامج المخصصة لتعزيز قيم الوزارة,2,EA portfolio,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
