InitiativeID,Impacted BU,Wave,OverAll Impact
SO.1.27,ادارة مواهب الموارد البشرية في القطاع الصحي,الحزمة الثانية,16.000%
SO.1.27,ادارة تخطيط الموارد البشرية في القطاع الصحي,الحزمة الثانية,24.000%
SO.1.28,الموارد البشرية في القطاع الصحي,الحزمة الأولى,15.000%
SO.1.28,ادارة التواصل المؤسسي - القطاع الصحي,الحزمة الأولى,18.000%
SO.1.28,ادارة العلاقات العامة والاعلام - القطاع الصحي,الحزمة الأولى,20.000%
SO.1.28,مكتب CEO,الحزمة الأولى,9.000%
SO.1.30,ادارة تخطيط الموارد البشرية في القطاع الصحي,الحزمة الثانية,16.000%
SO.1.30,ادارة عمليات الموارد البشرية,الحزمة الثانية,16.000%
SO.1.31,الموارد البشرية في القطاع الصحي,الحزمة الأولى,47.000%
SO.1.31,ادارة التواصل المؤسسي - القطاع الصحي,الحزمة الأولى,47.000%
SO.1.31,ادارة خدمات القوى البشرية - القطاع الصحي,الحزمة الأولى,47.000%
SO.1.31,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,27.000%
SO.1.32,الادارة المالية في القطاع الصحي,الحزمة الأولى,19.000%
SO.1.32,الموارد البشرية في القطاع الصحي,الحزمة الأولى,24.000%
SO.1.32,ادارة خدمات القوى البشرية - القطاع الصحي,الحزمة الأولى,9.000%
SO.1.32,مكتب CEO,الحزمة الأولى,9.000%
SO.1.32,مكتب COO,الحزمة الأولى,9.000%
SO.1.4,مكتب وكيل الوزارة,الحزمة الصفرية,21.000%
SO.1.4,الموارد البشرية,الحزمة الصفرية,31.000%
SO.1.4,مكتب الوزير,الحزمة الصفرية,21.000%
SO.1.44,تطوير القوات والقدرات,الحزمة الثانية,19.000%
SO.1.44,هيئة الاتصالات,الحزمة الثانية,7.000%
SO.1.44,هيئة التعليم والتدريب,الحزمة الثانية,7.000%
SO.1.45,ادارة التدريب - هيئة التدريب والتعليم,الحزمة الأولى,36.000%
SO.1.45,قيادة التدريب والعقيدة,الحزمة الأولى,60.000%
SO.1.45,قاعدة إسناد التدريب والعقيدة العسكرية ,الحزمة الأولى,26.000%
SO.1.45,مكتب رئيس الجهاز العسكري,الحزمة الأولى,22.000%
SO.1.45,مدارس الحرس الوطني العسكرية,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الرياض,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الشرقية,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الاحساء,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الغربية,الحزمة الأولى,62.000%
SO.1.45,كلية الملك خالد العسكرية,الحزمة الأولى,26.000%
SO.1.46,هيئة التعليم والتدريب,الحزمة الثالثة,41.000%
SO.1.46,كلية الملك خالد العسكرية,الحزمة الثالثة,10.000%
SO.1.46,كلية الملك عبدالله للقيادة والاركان,الحزمة الثالثة,10.000%
SO.1.46,قيادة التدريب والعقيدة,الحزمة الثالثة,15.000%
SO.1.47,هيئة الامداد والتموين,الحزمة الثانية,27.000%
SO.1.47,هيئة التعليم والتدريب,الحزمة الثانية,20.000%
SO.1.47,هيئة القوة البشرية,الحزمة الثانية,8.000%
SO.1.48,قيادة الشرطة العسكرية,الحزمة الثانية,20.000%
so.1.5,الموارد البشرية,الحزمة الصفرية,40.000%
so.1.5,مكتب وكيل الوزارة,الحزمة الصفرية,20.000%
SO.1.50,كتيبة هندسة القتال الأولى,الحزمة الثانية,53.000%
SO.1.50,هيئة التعليم والتدريب,الحزمة الثانية,9.000%
SO.1.50,قيادة المناورة,الحزمة الثانية,6.000%
SO.1.51,هيئة الخطط,الحزمة الثالثة,42.000%
SO.1.51,هيئة التعليم والتدريب,الحزمة الثالثة,10.000%
SO.1.51,مكتب رئيس الجهاز العسكري,الحزمة الثالثة,8.000%
SO.1.52,إدارة الأمن والسلامة,الحزمة الثانية,20.000%
SO.1.53,هيئة الاتصالات,الحزمة الثالثة,23.000%
SO.1.53,هيئة التعليم والتدريب,الحزمة الثالثة,7.000%
SO.1.55,هيئة التعليم والتدريب,الحزمة الثالثة,15.000%
SO.1.56,الاستخبارات العملياتية,الحزمة الثالثة,33.000%
SO.1.56,اسناد القتل,الحزمة الثالثة,8.000%
SO.1.56,هيئة التعليم والتدريب,الحزمة الثالثة,6.000%
SO.1.56,هيئة الاستخبارات,الحزمة الثالثة,6.000%
SO.1.57,الموارد البشرية,الحزمة الأولى,46.000%
SO.1.57,هيئة التعليم والتدريب,الحزمة الأولى,46.000%
SO.1.57,الإدارة العامة لشؤون الضباط,الحزمة الأولى,46.000%
SO.1.57,هيئة شؤون الافراد,الحزمة الأولى,46.000%
SO.1.57,خدمات الدعم المؤسسي,الحزمة الأولى,14.000%
SO.1.58,الموارد البشرية,الحزمة الثانية,12.000%
SO.1.58,شؤون المتقاعدين,الحزمة الثانية,10.000%
SO.1.59,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الأولى,36.000%
SO.1.59,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,الحزمة الأولى,36.000%
SO.1.59,هيئة التعليم والتدريب,الحزمة الأولى,22.000%
SO.1.62,تطوير القوات والقدرات,الحزمة الثانية,82.000%
SO.1.62,هيئة العمليات,الحزمة الثانية,10.000%
SO.1.62,هيئة الخطط,الحزمة الثانية,10.000%
SO.1.62,هيئة الامداد والتموين,الحزمة الثانية,10.000%
SO.1.62,هيئة القوة البشرية,الحزمة الثانية,10.000%
SO.1.62,هيئة التعليم والتدريب,الحزمة الثانية,10.000%
SO.1.62,مكتب نائب رئيس الجهاز العسكري,الحزمة الثانية,26.000%
SO.1.8,الشؤون القانونية,الحزمة الثانية,44.000%
SO.1.8,الموارد البشرية,الحزمة الثانية,4.000%
SO.1.8,مكتب الوزير,الحزمة الثانية,16.000%
SO.1.9,الموارد البشرية,الحزمة الثانية,32.000%
SO.1.9,مكتب وكيل الوزارة,الحزمة الثانية,4.000%
SO.2.1,تطوير القوات والقدرات,الحزمة الثانية,24.000%
SO.2.1,هيئة العمليات,الحزمة الثانية,9.000%
SO.2.1,مكتب رئيس الجهاز العسكري,الحزمة الثانية,10.000%
SO.2.1,هيئة الاستخبارات,الحزمة الثانية,9.000%
SO.2.1,هيئة الامداد والتموين,الحزمة الثانية,9.000%
SO.2.12,هيئة الاستخبارات,الحزمة الثانية,42.000%
SO.2.12,هيئة الخطط,الحزمة الثانية,16.000%
SO.2.12,هيئة الاتصالات,الحزمة الثانية,16.000%
SO.2.12,هيئة العمليات,الحزمة الثانية,16.000%
SO.2.12,مكتب رئيس الجهاز العسكري,الحزمة الثانية,14.000%
SO.2.13,هيئة الاستخبارات,الحزمة الثالثة,42.000%
SO.2.13,هيئة التعليم والتدريب,الحزمة الثالثة,9.000%
SO.2.13,هيئة الاتصالات,الحزمة الثالثة,9.000%
SO.2.13,التحليل الاستراتيجي,الحزمة الثالثة,32.000%
SO.2.13,الاستخبارات العملياتية,الحزمة الثالثة,32.000%
SO.2.15,هيئة العمليات,الحزمة الأولى,50.000%
SO.2.15,هيئة الاستخبارات,الحزمة الأولى,50.000%
SO.2.15,هيئة الامداد والتموين,الحزمة الأولى,50.000%
SO.2.15,هيئة التعليم والتدريب,الحزمة الأولى,50.000%
SO.2.15,القيادة الوسطى,الحزمة الأولى,50.000%
SO.2.15,القيادة الشرقية,الحزمة الأولى,50.000%
SO.2.15,القيادة الغربية,الحزمة الأولى,50.000%
SO.2.15,مكتب رئيس الجهاز العسكري,الحزمة الأولى,36.000%
SO.2.15,مكتب نائب رئيس الجهاز العسكري,الحزمة الأولى,36.000%
SO.2.2,هيئة العمليات,الحزمة الثانية,20.000%
SO.2.2,هيئة التعليم والتدريب,الحزمة الثانية,20.000%
SO.2.2,مكتب نائب رئيس الجهاز العسكري,الحزمة الثانية,16.000%
SO.2.2,هيئة الخطط,الحزمة الثانية,26.000%
SO.2.2,مدارس الحرس الوطني العسكرية,الحزمة الثانية,12.000%
SO.2.4,ادارة الاستراتيجية والعقيدة - الطب العسكري الميداني,الحزمة الأولى,60.000%
SO.2.4,قيادة الطب العسكري الميداني,الحزمة الأولى,60.000%
SO.2.4,مكتب COO,الحزمة الأولى,28.000%
SO.2.4,مكتب مساعد خدمات اسناد القتال,الحزمة الأولى,28.000%
SO.2.4,القيادة الوسطى,الحزمة الأولى,28.000%
SO.2.4,القيادة الشرقية,الحزمة الأولى,28.000%
SO.2.4,القيادة الغربية,الحزمة الأولى,28.000%
SO.2.4,قيادة الطب العسكري الميداني,الحزمة الأولى,50.000%
SO.2.6,ادارة الاستراتيجية والعقيدة - الطب العسكري الميداني,الحزمة الأولى,39.000%
SO.2.6,ادارة التدريب - الطب العسكري الميداني,الحزمة الأولى,39.000%
SO.2.6,ادارة العمليات - الطب العسكري الميداني,الحزمة الأولى,39.000%
SO.2.6,الموارد البشرية في القطاع الصحي,الحزمة الأولى,43.000%
SO.2.6,ادارة الموارد البشرية - الطب العسكري الميداني,الحزمة الأولى,39.000%
SO.2.6,ادارة شؤون العسكريين - القطاع الصحي,الحزمة الأولى,43.000%
SO.2.6,قيادة الطب العسكري الميداني,الحزمة الأولى,35.000%
SO.2.6,مكتب رئيس الجهاز العسكري,الحزمة الأولى,9.000%
SO.2.6,مكتب CEO,الحزمة الأولى,9.000%
SO.2.7,التحليل الاستراتيجي,الحزمة الثانية,38.000%
SO.2.7,مكتب الوزير,الحزمة الثانية,24.000%
SO.2.7,هيئة الاستخبارات,الحزمة الثانية,26.000%
SO.2.8,ادارة التنظيم والتسليح - هيئة العمليات,الحزمة الأولى,32.000%
SO.2.8,إدارة الخطط والعمليات - هيئة العمليات,الحزمة الأولى,32.000%
SO.2.8,هيئة التعليم والتدريب,الحزمة الأولى,32.000%
SO.2.8,هيئة الامداد والتموين,الحزمة الأولى,22.000%
SO.2.8,الإدارة العامة لشؤون الضباط,الحزمة الأولى,14.000%
SO.2.8,هيئة شؤون الافراد,الحزمة الأولى,14.000%
SO.2.9,قيادة المدفعية والدفاع الجوي,الحزمة الثانية,40.000%
SO.2.9,هيئة العمليات,الحزمة الثانية,13.000%
SO.2.9,هيئة التعليم والتدريب,الحزمة الثانية,13.000%
SO.2.9,هيئة الاتصالات,الحزمة الثانية,6.000%
SO.2.9,هيئة الامداد والتموين,الحزمة الثانية,13.000%
SO.2.9,مكتب رئيس الجهاز العسكري,الحزمة الثانية,5.000%
SO.3.10,التخطيط الاستراتيجي,الحزمة الأولى,15.000%
SO.3.10,ادارة السياسات,الحزمة الأولى,15.000%
SO.3.10,"الادارات المالية في المناطق - الوسطى , الشرقية , الغربية",الحزمة الأولى,56.000%
SO.3.10,مكتب ادارة المشاريع المؤسسي,الحزمة الأولى,15.000%
SO.3.10,الإدارة المالية,الحزمة الأولى,56.000%
SO.3.100,رئاسة هيئة العمليات,الحزمة الصفرية,39.000%
SO.3.100,الإدارة العامة لشؤون الضباط,الحزمة الصفرية,39.000%
SO.3.100,الموارد البشرية,الحزمة الصفرية,39.000%
SO.3.100,رئاسة هيئة شؤون الافراد,الحزمة الصفرية,39.000%
SO.3.100,رئاسة هيئة التعليم والتدريب,الحزمة الصفرية,34.000%
SO.3.101,إدارة الأمن والسلامة,الحزمة الثانية,70.000%
SO.3.101,هيئة العمليات,الحزمة الثانية,15.000%
SO.3.101,الشؤون الهندسية والمرافق,الحزمة الثانية,38.000%
SO.3.102,مكتب نائب رئيس الجهاز العسكري,الحزمة الثانية,42.000%
SO.3.102,الشؤون القانونية,الحزمة الثانية,8.000%
SO.3.102,مركز الاتصال والإعلام,الحزمة الثانية,8.000%
SO.3.102,الادارة العامة للحوكمة والمخاطر والإلتزام,الحزمة الثانية,8.000%
SO.3.102,الموارد البشرية,الحزمة الثانية,5.000%
SO.3.102,هيئة القوة البشرية,الحزمة الثانية,5.000%
SO.3.102,مدارس الحرس الوطني العسكرية,الحزمة الثانية,5.000%
SO.3.102,مكتب رئيس الجهاز العسكري,الحزمة الثانية,4.000%
so.3.104,مكتب رئيس الجهاز العسكري,الحزمة الصفرية,76.000%
so.3.104,الإدارة العامة لشؤون الضباط,الحزمة الصفرية,37.600%
so.3.104,هيئة شؤون الافراد,الحزمة الصفرية,37.600%
so.3.104,هيئة الطيران,الحزمة الصفرية,37.600%
so.3.104,هيئة الامداد والتموين,الحزمة الصفرية,37.600%
so.3.104,هيئة العمليات,الحزمة الصفرية,37.600%
so.3.104,هيئة التعليم والتدريب,الحزمة الصفرية,37.600%
SO.3.105,هيئة الخطط,الحزمة الثانية,77.000%
SO.3.105,هيئة العمليات,الحزمة الثانية,34.000%
SO.3.105,هيئة القوة البشرية,الحزمة الثانية,8.000%
SO.3.105,هيئة الاتصالات,الحزمة الثانية,10.000%
SO.3.105,مكتب رئيس الجهاز العسكري,الحزمة الثانية,11.000%
SO.3.106,هيئة الاتصالات,الحزمة الثانية,90.000%
SO.3.106,هيئة العمليات,الحزمة الثانية,8.000%
SO.3.106,هيئة الاستخبارات,الحزمة الثانية,34.000%
SO.3.106,هيئة الخطط,الحزمة الثانية,8.000%
SO.3.106,هيئة القوة البشرية,الحزمة الثانية,6.000%
SO.3.106,سلاح الاشارة,الحزمة الثانية,40.000%
SO.3.106,مكتب رئيس الجهاز العسكري,الحزمة الثانية,14.000%
SO.3.106,الخدمات الرقمية والتقنية,الحزمة الثانية,3.000%
SO.3.107,الاستخبارات العملياتية,الحزمة الثانية,86.000%
SO.3.107,اسناد القتل,الحزمة الثانية,44.000%
SO.3.107,هيئة العمليات,الحزمة الثانية,11.000%
