Business units N-1,Business units N-2,Business units N-3,CODE,BU,ID,Level,Emp. No.
مكتب وكيل الوزارة,الخدمات الرقمية والتقنية,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,D-7-C,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,D-7-C,N-3,0
مكتب وكيل الوزارة,الخدمات الرقمية والتقنية,الابتكار الرقمي - الخدمات الرقمية والتقنية,D-7-D,الابتكار الرقمي - الخدمات الرقمية والتقنية,D-7-D,N-3,0
مكتب وكيل الوزارة,الخدمات الرقمية والتقنية,الامن السيبراني - الخدمات الرقمية والتقنية,D-7-E,الامن السيبراني - الخدمات الرقمية والتقنية,D-7-E,N-3,0
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,المشتريات العامة,D-1-E,المشتريات العامة,D-1-E,N-3,53
مكتب الوزير,الادارة العامة للحوكمة والمخاطر والإلتزام,N/A,A-11,الادارة العامة للحوكمة والمخاطر والإلتزام,A-11,N-2,0
مكتب الوزير,ادارة الامن السيبراني,N/A,A-12,ادارة الامن السيبراني,A-12,N-2,419
مكتب الوزير,ادارة الامن السيبراني,الحوكمة والمخاطر والامتثال - الامن السيبراني ,A-12-A,الحوكمة والمخاطر والامتثال - الامن السيبراني ,A-12-A,N-3,0
مكتب الوزير,ادارة الامن السيبراني,تخطيط الأمن السيبراني وإدارة الأداء,A-12-B,تخطيط الأمن السيبراني وإدارة الأداء,A-12-B,N-3,0
مكتب الوزير,ادارة الامن السيبراني,الدفاع السيبراني والمراقبة والاستجابة,A-12-C,الدفاع السيبراني والمراقبة والاستجابة,A-12-C,N-3,0
مكتب وكيل الوزارة,المشتريات والتسليح,N/A,D-8,المشتريات والتسليح,D-8,N-2,0
مكتب وكيل الوزارة,الشؤون الهندسية والمرافق,الاصول والممتلكات - الشؤون الهندسية والمرافق,D-2-A,الاصول والممتلكات - الشؤون الهندسية والمرافق,D-2-A,N-3,0
مكتب وكيل الوزارة,الشؤون الهندسية والمرافق,شؤون المشاريع للبنى التحتية - الشؤون الهندسية والمرافق,D-2-B,شؤون المشاريع للبنى التحتية - الشؤون الهندسية والمرافق,D-2-B,N-3,0
مكتب الوزير,الادارة العامة للمراجعة الداخلية,N/A,A-13,الادارة العامة للمراجعة الداخلية,A-13,N-2,0
مكتب CEO,ادارة الرعاية الصحية,N/A,E-11,ادارة الرعاية الصحية,E-11,N-2,3
مكتب CEO,الشؤون الاستراتيجية - القطاع الصحي,N/A,E-12,الشؤون الاستراتيجية - القطاع الصحي,E-12,N-2,0
مكتب CEO,مكتب COO,N/A,E-1-L,مكتب COO,E-1-L,N-2,8
مكتب CEO,0,N/A,E-1-I,0,E-1-I,N-2,35
مكتب CEO,مكتب COO,N/A,E-1-J,مكتب COO,E-1-J,N-2,8
مكتب CEO,مكتب COO,N/A,E-1-K,مكتب COO,E-1-K,N-2,58
مكتب CEO,ادارة السياسات - القطاع الصحي,N/A,E-15,ادارة السياسات - القطاع الصحي,E-15,N-2,17
مكتب CEO,مكتب COO,N/A,E-1-M,مكتب COO,E-1-M,N-2,24
مكتب CEO,مكتب COO,N/A,E-1-N,مكتب COO,E-1-N,N-2,0
مكتب CEO,مكتب CMO,N/A,E-2-B,مكتب CMO,E-2-B,N-2,0
مكتب CEO,مكتب COO,N/A,E-1-O,مكتب COO,E-1-O,N-2,44
مكتب CEO,المراجعة الداخلية - القطاع الصحي,N/A,E-16-A,المراجعة الداخلية - القطاع الصحي,E-16-A,N-2,7
مكتب CEO,المراجعة الداخلية - القطاع الصحي,N/A,E-16-B,المراجعة الداخلية - القطاع الصحي,E-16-B,N-2,6
مكتب CEO,المراجعة الداخلية - القطاع الصحي,N/A,E-16-C,المراجعة الداخلية - القطاع الصحي,E-16-C,N-2,14
مكتب CEO,المراجعة الداخلية - القطاع الصحي,N/A,E-16,المراجعة الداخلية - القطاع الصحي,E-16,N-2,27
مكتب CEO,كلية الشؤون الصحية في جامعة الملك سعود,المراجعة الداخلية في جامعة الملك سعود بن عبد العزيز للعلوم الصحية ,E-9-A,المراجعة الداخلية في جامعة الملك سعود بن عبد العزيز للعلوم الصحية ,E-9-A,N-3,0
مكتب CEO,مكتب COO,N/A,E-1-Q,مكتب COO,E-1-Q,N-2,15
مكتب CEO,مكتب CMO,N/A,E-2-C,مكتب CMO,E-2-C,N-2,0
مكتب CEO,تطوير الاعمال والنوادي الاجتماعية - القطاع الصحي,N/A,E-18,تطوير الاعمال والنوادي الاجتماعية - القطاع الصحي,E-18,N-2,117
مكتب CEO,ادارة الجودة - القطاع الصحي,N/A,E-19,ادارة الجودة - القطاع الصحي,E-19,N-2,62
مكتب CEO,مكتب COO,ادارة تجربة المريض,E-1-R,ادارة تجربة المريض,E-1-R,N-3,106
مكتب رئيس الجهاز العسكري,هيئة الخطط,N/A,B-26,هيئة الخطط,B-26,N-2,0
مكتب رئيس الجهاز العسكري,هيئة الاتصالات,N/A,B-27,هيئة الاتصالات,B-27,N-2,0
مكتب CEO,مكتب COO,N/A,E-1-S,مكتب COO,E-1-S,N-2,0
مكتب CEO,الصحة العامة والبيئية – الشؤون الصحية,N/A,E-21,الصحة العامة والبيئية – الشؤون الصحية,E-21,N-2,0
مكتب CEO,ادارة الاداء الاكلينيكي و الابتكار,N/A,E-22,ادارة الاداء الاكلينيكي و الابتكار,E-22,N-2,0
مكتب CEO,البحث والتطوير - القطاع الصحي,N/A,E-23,البحث والتطوير - القطاع الصحي,E-23,N-2,0
مكتب CEO,مكتب CMO,N/A,E-2-D,مكتب CMO,E-2-D,N-2,0
مكتب CEO,مكتب COO,N/A,E-1-T,مكتب COO,E-1-T,N-2,0
مكتب رئيس الجهاز العسكري,تطوير القوات والقدرات,N/A,B-28,تطوير القوات والقدرات,B-28,N-2,0
مكتب وكيل الوزارة,الشؤون الاستراتيجية والسياسات,N/A,D-6,الشؤون الاستراتيجية والسياسات,D-6,N-2,0
مكتب وكيل الوزارة,الشؤون الاستراتيجية والسياسات,التخطيط الاستراتيجي,D-6-2,التخطيط الاستراتيجي,D-6-2,N-3,0
مكتب وكيل الوزارة,الشؤون الاستراتيجية والسياسات,الإدارة العامة للأداء,D-6-3,الإدارة العامة للأداء,D-6-3,N-3,0
مكتب وكيل الوزارة,وحدة تنمية الإيرادات والاستثمار,N/A,D-7,وحدة تنمية الإيرادات والاستثمار,D-7,N-2,0
مكتب CEO,مكتب CMO,التميز والجودة السريرية,E-2-E,التميز والجودة السريرية,E-2-E,N-3,0
مكتب CEO,مكتب COO,ادارة تخطيط الموارد البشرية في القطاع الصحي,E-1-U,ادارة تخطيط الموارد البشرية في القطاع الصحي,E-1-U,N-3,0
مكتب CEO,مكتب COO,ادارة مواهب الموارد البشرية في القطاع الصحي,E-1-V,ادارة مواهب الموارد البشرية في القطاع الصحي,E-1-V,N-3,0
مكتب CEO,مكتب COO,ادارة المرافق - القطاع الصحي,E-1-W,ادارة المرافق - القطاع الصحي,E-1-W,N-3,0
مكتب رئيس الجهاز العسكري,قيادة المناورة,N/A,B-29,قيادة المناورة,B-29,N-2,0
مكتب رئيس الجهاز العسكري,هيئة القوة البشرية,N/A,B-30,هيئة القوة البشرية,B-30,N-2,0
مكتب رئيس الجهاز العسكري,قيادة اسناد القتال,الاستخبارات العملياتية,B-17-A,الاستخبارات العملياتية,B-17-A,N-3,0
مكتب CEO,مكتب COO,مكتب المدير التنفيذي للموارد البشرية,E-1-X,مكتب المدير التنفيذي للموارد البشرية,E-1-X,N-3,0
مكتب CEO,مكتب COO,ادارة عمليات الموارد البشرية,E-1-Y,ادارة عمليات الموارد البشرية,E-1-Y,N-3,0
مكتب الوزير,الادارة العامة للمراجعة الداخلية,إدارة البلاغات,A-13-A,إدارة البلاغات,A-13-A,N-3,0
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,الإدارة العامة للخدمات المشتركة,,الإدارة العامة للخدمات المشتركة,0,N-3,0
مكتب الوزير,الادارة العامة للحوكمة والمخاطر والإلتزام,ادارة البيانات,A-11-A,ادارة البيانات,A-11-A,N-3,0
