Business units N-1,Business units N-2,Business units N-3,CODE,BU,ID,Level,Emp. No.
مكتب نائب الوزير,الإدارة العامة للأراضي والممتلكات,N/A,C-1,الإدارة العامة للأراضي والممتلكات,C-1,N-2,37
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,الإدارة العامة للأسلحة والذخيرة,B-4-D,الإدارة العامة للأسلحة والذخيرة,B-4-D,N-3,1393
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,قاعدة الإمداد والتموين في القطاع الغربي,B-4-C,قاعدة الإمداد والتموين في القطاع الغربي,B-4-C,N-3,82
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,قاعدة الإمداد والتموين بالقطاع الشرقي,B-4-B,قاعدة الإمداد والتموين بالقطاع الشرقي,B-4-B,N-3,60
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,قاعدة الامداد والتموين في الرياض,B-4-A,قاعدة الامداد والتموين في الرياض,B-4-A,N-3,1932
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,إدارة مراقبة المخزون,B-4-E,إدارة مراقبة المخزون,B-4-E,N-3,24
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,إدارة التموين والنقل,B-4-F,إدارة التموين والنقل,B-4-F,N-3,53
مكتب نائب الوزير,N/A,N/A,C,مكتب نائب الوزير,C,N-1,128
مكتب الوزير,الإدارة العامة للإرشاد والتوجيه,N/A,A-2,الإدارة العامة للإرشاد والتوجيه,A-2,N-2,706
مكتب وكيل الوزارة,الإدارة العامة للمطابع,N/A,D-5,الإدارة العامة للمطابع,D-5,N-2,294
مكتب الوزير,الشؤون القانونية,N/A,A-3,الشؤون القانونية,A-3,N-2,35
مكتب وكيل الوزارة,الإدارة العامة للمعلومات والإحصاء,N/A,D-3,الإدارة العامة للمعلومات والإحصاء,D-3,N-2,15
مكتب الوزير,الادارة العامة للبيانات,N/A,A-1,الادارة العامة للبيانات,A-1,N-2,125
مكتب الوزير,الشؤون الثقافية,N/A,A-4,الشؤون الثقافية,A-4,N-2,8
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,الإدارة المالية,D-1-B,الإدارة المالية,D-1-B,N-3,222
مكتب رئيس الجهاز العسكري,الإدارة العامة العسكرية للمشتريات,N/A,B-8,الإدارة العامة العسكرية للمشتريات,B-8,N-2,53
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,قيادة كلية الملك خالد العسكرية,B-11-A,قيادة كلية الملك خالد العسكرية,B-11-A,N-3,416
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,مساعد قائد كلية الملك خالد للشؤون التعليمية,B-11-B,مساعد قائد كلية الملك خالد للشؤون التعليمية,B-11-B,N-3,323
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,مساعد قائد كلية الملك خالد لشؤون الطلبة,B-11-C,مساعد قائد كلية الملك خالد لشؤون الطلبة,B-11-C,N-3,288
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,مساعد قائد الكلية للشؤون الإدارية,B-11-D,مساعد قائد الكلية للشؤون الإدارية,B-11-D,N-3,214
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,إدارة الصيانة والتشغيل,B-11-E,إدارة الصيانة والتشغيل,B-11-E,N-3,90
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,وحدة الأمن والحراسة,B-11-F,وحدة الأمن والحراسة,B-11-F,N-3,375
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,إدارة الحاسب الآلي,B-11-G,إدارة الحاسب الآلي,B-11-G,N-3,62
مكتب رئيس الجهاز العسكري,هيئة الاستخبارات,رئاسة هيئة الإستخبارات,B-2-A,رئاسة هيئة الإستخبارات,B-2-A,N-3,49
مكتب رئيس الجهاز العسكري,هيئة الاستخبارات,إدارة خطط وعمليات الإستخبارات,B-2-B,إدارة خطط وعمليات الإستخبارات,B-2-B,N-3,53
مكتب رئيس الجهاز العسكري,هيئة الاستخبارات,إدارة نظم المعلومات الجغرافية,B-2-C,إدارة نظم المعلومات الجغرافية,B-2-C,N-3,82
مكتب رئيس الجهاز العسكري,هيئة الاستخبارات,إدارة أمن المعلومات والاتصالات,B-2-D,إدارة أمن المعلومات والاتصالات,B-2-D,N-3,79
مكتب رئيس الجهاز العسكري,هيئة الاستخبارات,إدارة الأمن العسكري,B-2-E,إدارة الأمن العسكري,B-2-E,N-3,77
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,قيادة مدارس الحرس الوطني العسكرية,B-15-A,قيادة مدارس الحرس الوطني العسكرية,B-15-A,N-3,120
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة المشاة,B-15-B,مدرسة المشاة,B-15-B,N-3,429
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة خدمات الاسناد,B-15-C,مدرسة خدمات الاسناد,B-15-C,N-3,378
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مديرية التدريب,B-15-D,مديرية التدريب,B-15-D,N-3,168
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مديرية الامداد و التموين,B-15-E,مديرية الامداد و التموين,B-15-E,N-3,667
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,كتيبة الطلبة,B-15-F,كتيبة الطلبة,B-15-F,N-3,127
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة القران الكريم,B-15-G,مدرسة القران الكريم,B-15-G,N-3,5
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة الموسيقى وفرقة الرياض الموسيقية,B-15-H,مدرسة الموسيقى وفرقة الرياض الموسيقية,B-15-H,N-3,193
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة التربية الرياضية,B-15-I,مدرسة التربية الرياضية,B-15-I,N-3,97
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة اللغات,B-15-J,مدرسة اللغات,B-15-J,N-3,33
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة اسناد القتال,B-15-K,مدرسة اسناد القتال,B-15-K,N-3,370
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,مدرسة الامن الداخلي والقوات الخاصة,B-15-L,مدرسة الامن الداخلي والقوات الخاصة,B-15-L,N-3,263
