ID,organizational_unit,deliverables 
57,مستودعات الخدمات الإدارية,تقرير عن حالة المستودع 
57,مستودعات الخدمات الإدارية,تحديد أليات الصرف
57,مستودعات الخدمات الإدارية,تقرير عن التوقعات المستقبلية
58,إدارة التخطيط والبرامج والأداء,غير محدد
59,إدارة الابتكارات الرقمية,غير محدد
60,إدارة البنية المؤسسية والمعايير,غير محدد
61,إدارة تطوير التطبيقات,غير محدد
62,إدارة التشغيل,غير محدد
63,الإدارة العامة لإسناد المشتريات والتسليح,غير محدد
64,الإدارة العامة لبرامج المشتريات والتسليح,غير محدد
65,إدارة تخطيط المشتريات والتسليح,غير محدد
66,الإدارة العامة للتخطيط استراتيجي,خريطة استراتيجية وزارة الحرس الوطني
66,الإدارة العامة للتخطيط استراتيجي,أولويات وزارة الحرس الوطني
66,الإدارة العامة للتخطيط استراتيجي,الأهداف السنوية لوزارة الحرس الوطني
66,الإدارة العامة للتخطيط استراتيجي,القائمة الموحدة للخطط الوظيفية
66,الإدارة العامة للتخطيط استراتيجي,خطط إدارية منقحة
66,الإدارة العامة للتخطيط استراتيجي,القائمة النهائية للخطط السنوية
66,الإدارة العامة للتخطيط استراتيجي,المتطلبات التشغيلية والمالية
66,الإدارة العامة للتخطيط استراتيجي,تعديلات الإستراتيجية
67,الإدارة العامة للسياسات,قائمة اعتبارات سياسات وزارة الحرس الوطني
67,الإدارة العامة للسياسات,متطلبات السياسة
67,الإدارة العامة للسياسات,معايير وإرشادات السياسة
67,الإدارة العامة للسياسات,الموافقة على السياسات
67,الإدارة العامة للسياسات,تعديلات السياسة
67,الإدارة العامة للسياسات,مكتبات السياسات
68,الإدارة العامة لإدارة الأداء ,معايير قياس الأداء
68,الإدارة العامة لإدارة الأداء ,الأهداف الوظيفية ومؤشرات الأداء الرئيسية
68,الإدارة العامة لإدارة الأداء ,لوحة معلومات مؤشرات الأداء الرئيسية والتقارير
68,الإدارة العامة لإدارة الأداء ,الإنجازات وأوجه القصور 
68,الإدارة العامة لإدارة الأداء ,خطة التدخل
68,الإدارة العامة لإدارة الأداء ,تقارير الأداء
69,نائب الـوزيـــر,غير محدد
2,إدارة الإعلام,تحديد استراتيجية لحملات وفعاليات وزارة الحرس الوطني ومستهدفاتها
2,إدارة الإعلام,تحديد استراتيجية ومبادئ توجيهية للتواصل أثناء الأزمات 
2,إدارة الإعلام,إعداد وتنفيذ الحملات والفعاليات والأخبار
2,إدارة الإعلام,تطوير محتوى نصي ومرئي مؤثر (لحملات وفعاليات وزارة الحرس الوطني)
2,إدارة الإعلام,قياس مؤشرات الأداء الرئيسية للحملات وتقديم تقارير عنها
2,إدارة الإعلام,مراقبة التصور العام عن وزارة الحرس الوطني
2,إدارة الإعلام,تطوير فرص لتحسين الحملات المستقبلية والتصور العام حول وزارة الحرس الوطني
